data_noise_seed,source_timestep,target_timestep,total_depth,reset_depth,reset_timestep,E_q,E_free,E_reset,reset_gain,reset_recovery_fraction,pre_reset_d_action_l2,action_elements
3,35,31,4,1,34,0.0008352174190804362,0.0008786092512309551,0.0008678169106133282,1.0792340617626905e-05,0.24871825140247844,0.004144179634749889,2048
3,35,31,4,2,33,0.0008352174190804362,0.0008786092512309551,0.0008575266692787409,2.108258195221424e-05,0.48586521719300413,0.008253753185272217,2048
3,35,31,4,3,32,0.0008352174190804362,0.0008786092512309551,0.0008465583086945117,3.205094253644347e-05,0.7386399916293969,0.01233007200062275,2048
3,35,27,8,2,33,0.0007511295261792839,0.0008475776994600892,0.0008248294470831752,2.2748252376914024e-05,0.2358598571969146,0.008253753185272217,2048
3,35,27,8,4,31,0.0007511295261792839,0.0008475776994600892,0.0008011511527001858,4.642654675990343e-05,0.4813626342588597,0.01637003943324089,2048
3,35,27,8,6,29,0.0007511295261792839,0.0008475776994600892,0.0007767367642372847,7.084093522280455e-05,0.7344974281322441,0.024345146492123604,2048
3,35,19,16,4,31,0.000588168331887573,0.0008212291868403554,0.0007690108614042401,5.2218325436115265e-05,0.22405446614659755,0.01637003943324089,2048
3,35,19,16,8,27,0.000588168331887573,0.0008212291868403554,0.0007128565339371562,0.0001083726529031992,0.46499723398489745,0.032165445387363434,2048
3,35,19,16,12,23,0.000588168331887573,0.0008212291868403554,0.0006526541546918452,0.00016857503214851022,0.7233090781489802,0.04729844257235527,2048
4,95,91,4,1,94,0.01625698432326317,0.01686421036720276,0.016662722453475,0.00020148791372776031,0.33181698271789745,0.019978394731879234,2048
4,95,91,4,2,93,0.01625698432326317,0.01686421036720276,0.016515325754880905,0.00034888461232185364,0.574554757332777,0.03670655936002731,2048
4,95,91,4,3,92,0.01625698432326317,0.01686421036720276,0.016376763582229614,0.00048744678497314453,0.802743541450666,0.05127258598804474,2048
4,95,87,8,2,93,0.009201890788972378,0.009854539297521114,0.009633338078856468,0.00022120121866464615,0.3389285591972328,0.03670655936002731,2048
4,95,87,8,4,91,0.009201890788972378,0.009854539297521114,0.009459149092435837,0.00039539020508527756,0.6058241149811067,0.06423698365688324,2048
4,95,87,8,6,89,0.009201890788972378,0.009854539297521114,0.009320414625108242,0.0005341246724128723,0.8183956071554962,0.08672526478767395,2048
4,95,79,16,4,91,0.004760169889777899,0.0055136834271252155,0.005231958813965321,0.00028172461315989494,0.37388128971336543,0.06423698365688324,2048
4,95,79,16,8,87,0.004760169889777899,0.0055136834271252155,0.005033858120441437,0.00047982530668377876,0.6367839234487609,0.10556170344352722,2048
4,95,79,16,12,83,0.004760169889777899,0.0055136834271252155,0.004879198037087917,0.0006344853900372982,0.8420358209766908,0.13642790913581848,2048
4,65,61,4,1,64,0.0021427576430141926,0.002202209085226059,0.0021865209564566612,1.5688128769397736e-05,0.2638813826162558,0.005310474894940853,2048
4,65,61,4,2,63,0.0021427576430141926,0.002202209085226059,0.0021716845221817493,3.0524563044309616e-05,0.5134368807325078,0.010514101013541222,2048
4,65,61,4,3,62,0.0021427576430141926,0.002202209085226059,0.002158958464860916,4.325062036514282e-05,0.7274948892074159,0.0156148262321949,2048
4,65,57,8,2,63,0.0019224120769649744,0.0020349083933979273,0.0020063198171555996,2.858857624232769e-05,0.2541289986091794,0.010514101013541222,2048
4,65,57,8,4,61,0.0019224120769649744,0.0020349083933979273,0.001976609230041504,5.829916335642338e-05,0.518231753758527,0.020637359470129013,2048
4,65,57,8,6,59,0.0019224120769649744,0.0020349083933979273,0.0019495226442813873,8.538574911653996e-05,0.7590092886946156,0.03042217157781124,2048
4,65,49,16,4,61,0.0015949850203469396,0.0018282325472682714,0.0017681067110970616,6.012583617120981e-05,0.25777695037036186,0.020637359470129013,2048
4,65,49,16,8,57,0.0015949850203469396,0.0018282325472682714,0.0017090447945520282,0.00011918775271624327,0.5109925678073409,0.039803698658943176,2048
4,65,49,16,12,53,0.0015949850203469396,0.0018282325472682714,0.0016525123501196504,0.00017572019714862108,0.7533636024697778,0.05747349187731743,2048
4,35,31,4,1,34,0.0010480359196662903,0.0011199228465557098,0.0011022298131138086,1.7693033441901207e-05,0.246123102036586,0.005057280883193016,2048
4,35,31,4,2,33,0.0010480359196662903,0.0011199228465557098,0.0010837212903425097,3.620155621320009e-05,0.5035902601440638,0.010058394633233547,2048
4,35,31,4,3,32,0.0010480359196662903,0.0011199228465557098,0.0010661419946700335,5.3780851885676384e-05,0.7481311861947453,0.01500584278255701,2048
4,35,27,8,2,33,0.0009289209847338498,0.0010743277380242944,0.0010381630854681134,3.6164652556180954e-05,0.24871370646687502,0.010058394633233547,2048
4,35,27,8,4,31,0.0009289209847338498,0.0010743277380242944,0.0010008090175688267,7.35187204554677e-05,0.5056073311025436,0.019891789183020592,2048
4,35,27,8,6,29,0.0009289209847338498,0.0010743277380242944,0.0009653428569436073,0.00010898488108068705,0.7495173271835166,0.029465600848197937,2048
4,35,19,16,4,31,0.0007082318188622594,0.0010037603788077831,0.0009324747370555997,7.128564175218344e-05,0.24121405310310406,0.019891789183020592,2048
4,35,19,16,8,27,0.0007082318188622594,0.0010037603788077831,0.0008608518401160836,0.0001429085386916995,0.4835692994208159,0.038798484951257706,2048
4,35,19,16,12,23,0.0007082318188622594,0.0010037603788077831,0.0007861371268518269,0.00021762325195595622,0.7363865339988521,0.05664205178618431,2048
